"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",997.444732611474,4.60255454054448,0.211741943062643,21.7366218235885,9.24585530831346e-105,1.70262425502592e-100
"ENSG00000148175",11193.7231981539,1.45149351422618,0.0848957782265596,17.0973580141124,1.55285950467753e-65,1.42979538893184e-61
"ENSG00000179094",776.600164098613,3.18388262288409,0.201509405983298,15.8001687680425,3.10284782938911e-56,1.90463142594002e-52
"ENSG00000134686",2737.98162586977,1.38716804373854,0.0916586973120219,15.1340580263363,9.65533115134231e-52,4.44507307879922e-48
"ENSG00000125148",3656.26740037453,2.20346827829643,0.147419126764273,14.9469633056492,1.63015008179505e-50,6.00384275125118e-47
"ENSG00000120129",3409.03835490143,2.94901281295457,0.201546443514014,14.6319268231072,1.75738759867527e-48,5.39371543826751e-45
"ENSG00000189221",2341.78067569054,3.30522736474065,0.228030723877634,14.494658037898,1.30952913331622e-47,3.44499699857401e-44
"ENSG00000109906",385.071327676389,7.17614939620649,0.496359299844905,14.4575701481745,2.24587292168246e-47,5.16971873159782e-44
"ENSG00000178695",2649.82251474546,-2.49988304166943,0.17890347996184,-13.9733617378636,2.26669605815738e-44,4.63791199010757e-41
"ENSG00000101347",12703.4128252398,3.85775021160878,0.279324769387077,13.8109850410826,2.18818799663659e-43,4.02954819580629e-40
"ENSG00000162614",5393.11454093552,2.02995889126933,0.151706516399883,13.3808285856262,7.82699330625261e-41,1.31030983395129e-37
"ENSG00000196517",229.638049919376,-2.21693924604394,0.166828412556433,-13.2887390827028,2.69074302059781e-40,4.1291693936924e-37
"ENSG00000096060",2564.38437504937,3.93843101507586,0.296906743549409,13.2648755902052,3.70034444361025e-40,5.24168022531406e-37
"ENSG00000162616",1467.63832301977,1.52097017999927,0.123443099810171,12.3212247775551,6.96286871931348e-35,9.15865910472555e-32
"ENSG00000116584",2250.58089102087,-1.01449238445002,0.082425009462311,-12.3080651257177,8.19646505187449e-35,1.00625269286846e-31
"ENSG00000166741",7432.96098233325,2.16221947092681,0.177514555482886,12.1805193103462,3.94760242386424e-34,4.54344366471625e-31
"ENSG00000183044",498.690254503353,1.15807030071421,0.0971414775313791,11.9214812265968,9.14677113632775e-33,9.9081053220868e-30
"ENSG00000144369",1303.26322729511,-1.35029402425608,0.116149008711521,-11.6255320577879,3.0568289620102e-31,3.12730585196766e-28
"ENSG00000198624",2057.20440873193,2.89494699695876,0.250638798651038,11.5502747880202,7.35847890250998e-31,7.13191520998533e-28
"ENSG00000164125",5596.3514152391,1.12456104199287,0.0981153358811398,11.4616235259614,2.05623714568269e-30,1.89328035188734e-27
"ENSG00000108821",100989.91598642,-1.29947097747104,0.115311208465745,-11.2692512268403,1.8614614289431e-29,1.63232439114224e-26
"ENSG00000135821",19611.251384513,3.00416007078902,0.268753893163912,11.1781081026305,5.21907239248108e-29,4.36860082306996e-26
"ENSG00000163884",561.111048261822,4.58218142970924,0.412315586337555,11.1132869615991,1.08105472767259e-28,8.6554881783003e-26
"ENSG00000162692",508.164810682556,-3.60933204795293,0.326428735447035,-11.0570291644516,2.02700508371032e-28,1.5553041090219e-25
"ENSG00000164647",1920.71084944799,1.55676220873078,0.141029484462546,11.0385584593427,2.48995707502612e-28,1.83410238146424e-25
"ENSG00000077684",1570.63392682279,1.20687900242556,0.109734438258824,10.9981790728174,3.89926141121908e-28,2.76172688029228e-25
"ENSG00000139132",1223.46315207371,2.25393670843187,0.205574548135563,10.9640844592568,5.68732465187566e-28,3.87896605423297e-25
"ENSG00000114098",1010.29282888401,1.35688162931468,0.125664887329147,10.7976194317564,3.53243412117278e-27,2.32320622647845e-24
"ENSG00000181467",630.869571252005,-1.27245221033199,0.118414311103331,-10.7457637381483,6.20462628667378e-27,3.93993769203785e-24
"ENSG00000123562",5040.48334406563,1.02831045496215,0.0959516669647152,10.7169628990427,8.47403306185858e-27,5.20164396113752e-24
"ENSG00000165995",495.095686525811,3.30052365155621,0.308426316320534,10.7011739170989,1.00496875101447e-26,5.969838564494e-24
